Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-06-02,43.613,43.75,43.361,43.361,301234
2015-06-03,43.47,44.19,43.002,43.002,379703
2015-06-05,42.315,42.698,41.098,41.133,161965
2015-06-08,41.494,42.423,41.278,42.207,237014
2015-06-09,42.207,42.885,41.485,42.244,136809
2015-06-10,42.244,43.253,42.244,43.253,132874
2015-06-11,43.253,43.253,41.624,41.624,171913
2015-06-12,41.991,42.82,41.753,42.344,119772
2015-06-15,42.41,43.11,42.41,42.885,145684
2015-06-16,42.82,43.145,42.612,42.885,85474
2015-06-17,42.892,43.145,42.75,42.878,227418
2015-06-18,42.892,43.002,41.898,41.898,245920
2015-06-19,42.027,42.612,41.12,42.338,263825
2015-06-22,42.713,43.902,42.655,43.902,172536
2015-06-23,43.613,43.787,43.295,43.47,65993
2015-06-24,43.585,43.613,43.002,43.181,80877
2015-06-25,42.964,43.324,42.684,43.072,241497
2015-06-26,42.75,43.11,42.41,42.532,154656
2015-06-29,41.898,41.898,40.601,41.465,197171
2015-06-30,41.66,42.344,41.306,41.747,122604
2015-07-01,42.496,43.218,41.76,41.76,200106
2015-07-02,42.172,43.607,42.172,43.383,335320
2015-07-03,43.541,43.541,42.532,43.072,117611
2015-07-06,42.532,43.253,42.532,42.82,76013
2015-07-07,42.641,43.253,42.216,42.532,134946
2015-07-08,42.75,43.11,42.244,42.885,125149
2015-07-09,42.612,43.246,42.532,42.791,57053
2015-07-10,43.174,43.613,42.662,43.231,328837
2015-07-13,43.239,43.253,42.591,42.591,73904
2015-07-14,42.892,43.526,42.201,42.892,141632
2015-07-15,42.892,43.317,41.955,42.172,84345
2015-07-16,42.604,42.958,42.41,42.532,107960
2015-07-17,42.532,42.878,41.97,42.38,125587
2015-07-20,42.38,42.987,41.508,41.991,107204
2015-07-21,41.991,42.438,41.574,41.991,172140
2015-07-22,42.172,42.482,41.846,42.063,192189
2015-07-23,41.811,42.582,41.811,42.244,242922
2015-07-24,41.955,42.351,40.19,41.421,153713
2015-07-27,41.529,42.135,40.579,41.725,115973
2015-07-28,42.158,42.178,41.416,41.458,82430
2015-07-29,41.458,43.218,41.263,43.196,227762
2015-07-30,43.037,43.08,40.911,40.911,168449
2015-07-31,41.43,41.574,40.463,41.574,183335
2015-08-03,41.596,41.79,40.917,41.451,41720
2015-08-04,41.494,41.515,40.881,41.09,94011
2015-08-05,41.408,41.991,41.408,41.524,121250
2015-08-06,41.524,42.143,41.163,41.732,140562
2015-08-07,41.257,41.687,41.09,41.596,111455
2015-08-10,41.703,41.94,41.313,41.451,47638
2015-08-11,41.775,41.775,40.838,41.306,95415
2015-08-12,41.192,41.192,40.146,40.239,178826
2015-08-13,40.239,40.369,40.146,40.354,155070
2015-08-14,40.369,40.521,40.276,40.363,70079
2015-08-17,40.781,40.781,40.016,40.045,36853
2015-08-18,40.045,40.225,40.016,40.182,140443
2015-08-19,40.009,40.363,39.289,40.009,174121
2015-08-20,39.655,40.045,39.102,39.504,118301
2015-08-21,39.289,39.432,37.846,38.747,207983
2015-08-24,36.607,38.56,36.073,37.991,334789
2015-08-25,37.104,37.983,36.866,37.558,428138
2015-08-26,37.486,37.775,37.126,37.486,256339
2015-08-27,38.206,38.206,36.837,37.739,382866
2015-08-28,38.114,38.171,37.184,37.486,245401
2015-08-31,37.486,37.775,37.42,37.768,273895
2015-09-01,37.666,37.775,37.493,37.566,167542
2015-09-02,37.63,37.812,37.414,37.558,266378
2015-09-03,37.63,38.676,37.63,38.502,186458
2015-09-04,38.639,39.649,38.639,39.072,210019
2015-09-07,39.144,39.607,38.827,38.928,145582
2015-09-08,39.324,39.324,38.755,38.891,99798
2015-09-09,39.735,39.735,38.747,39.079,134121
2015-09-10,38.841,39.289,38.516,38.985,124378
2015-09-11,39.079,39.245,38.524,39.137,83326
2015-09-14,39.237,39.432,38.597,39,101624
2015-09-15,39.237,39.526,39.015,39.468,178194
2015-09-16,39.468,40.369,39.302,40.298,185338
2015-09-17,40.088,40.601,39.923,40.11,147611
2015-09-18,40.442,40.514,39.072,40.283,346231
2015-09-21,39.649,39.915,39.324,39.649,86261
2015-09-22,39.873,40.002,38.928,39.409,176184
2015-09-23,39.36,39.865,39.36,39.568,113895
2015-09-24,39.36,39.584,38.783,38.783,113254
2015-09-25,39.137,39.779,39.072,39.432,139406
2015-09-28,39.158,39.676,38.308,38.985,156554
2015-09-29,38.928,39.18,38.222,38.891,407893
2015-09-30,38.891,39.209,38.762,38.935,115005
2015-10-01,38.949,39.504,38.928,39.137,141947
2015-10-02,38.985,39.829,38.985,39.829,164190
2015-10-05,40.009,41.775,39.482,41.379,127900
2015-10-06,41.379,41.379,39.338,39.764,153814
2015-10-07,40.009,40.542,39.627,39.627,221395
2015-10-08,39.635,39.649,39.015,39.316,123876
2015-10-09,39.792,39.792,38.963,39.108,109230
2015-10-12,39.18,39.792,38.978,39.36,76274
2015-10-13,39.649,39.792,39.36,39.36,121833
2015-10-14,39.627,40.644,39.375,39.607,213595
2015-10-15,39.649,39.878,38.935,39.878,279017
2015-10-16,40.059,40.369,38.935,38.935,136108
