Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-03-01,46.539,48.021,46.496,48.011,33081802
2016-03-02,47.855,48.359,47.624,48.349,29199079
2016-03-03,48.369,48.369,47.28,47.799,25397720
2016-03-04,47.845,47.891,47.22,47.509,34698049
2016-03-07,47.081,47.299,46.184,46.596,41279142
2016-03-08,46.385,47.601,46.199,47.162,35424554
2016-03-09,47.38,48.257,47.349,48.249,27692606
2016-03-10,48.329,48.339,46.716,47.526,42040664
2016-03-11,48.396,48.458,47.826,48.458,33178417
2016-03-14,48.131,48.934,48.058,48.551,26375338
2016-03-15,48.168,48.934,48.159,48.934,23113022
2016-03-16,48.805,49.857,48.761,49.625,34707426
2016-03-17,49.502,50.223,49.308,49.909,30909646
2016-03-18,50.15,50.196,48.801,48.841,74060543
2016-03-21,48.624,49.244,48.329,49.181,26202410
2016-03-22,48.953,49.536,48.815,49.372,25324561
2016-03-23,49.408,49.527,49.071,49.28,22044428
2016-03-24,49.162,49.607,49.062,49.502,21848347
2016-03-28,49.502,49.571,48.695,48.888,16783488
2016-03-29,48.997,50.094,48.805,49.956,24200460
2016-03-30,50.158,50.804,50.13,50.265,23581154
2016-03-31,50.176,50.76,50.094,50.429,25696261
2016-04-01,50.265,50.779,49.83,50.742,25000523
2016-04-04,50.614,50.821,50.223,50.614,18856416
2016-04-05,50.397,50.495,49.729,49.82,18875840
2016-04-06,49.635,50.404,49.502,50.332,21601356
2016-04-07,50.103,50.14,49.518,49.729,18119225
2016-04-08,49.919,50.475,49.597,49.693,23648776
2016-04-11,49.757,50.358,49.579,49.588,21641969
2016-04-12,49.645,50.017,49.088,49.901,26055576
2016-04-13,50.332,50.621,50.121,50.541,19984857
2016-04-14,50.419,50.747,50.283,50.549,21068407
2016-04-15,50.495,51.06,50.322,50.812,28031274
2016-04-18,50.67,51.671,50.412,51.554,24233640
2016-04-19,51.709,51.838,50.841,51.489,28601657
2016-04-20,51.399,51.591,50.665,50.76,37625604
2016-04-21,50.951,51.343,50.6,50.933,37347474
2016-04-22,47.397,47.874,46.359,47.28,133237318
2016-04-25,47.28,47.601,47.143,47.581,34179060
2016-04-26,47.723,47.799,46.652,46.969,35677936
2016-04-27,47.005,47.025,46.155,46.514,44022477
2016-04-28,46.223,46.359,45.253,45.565,42719349
2016-04-29,45.061,45.884,45.061,45.547,47398781
2016-05-02,45.655,46.341,45.455,46.213,35005303
2016-05-03,45.968,46.031,45.29,45.455,26810143
2016-05-04,45.509,45.709,45.165,45.537,24805163
2016-05-05,45.537,45.932,45.41,45.603,25420584
2016-05-06,45.584,46.012,45.344,46.012,25395054
2016-05-09,46.103,46.189,45.655,45.719,17736165
2016-05-10,45.96,46.661,45.827,46.586,23408162
2016-05-11,46.686,47.28,46.567,46.614,20848146
2016-05-12,46.751,47.309,46.496,47.034,25012079
2016-05-13,46.969,47.384,46.605,46.642,22350255
2016-05-16,46.385,47.444,46.341,47.328,15897774
2016-05-17,47.556,47.565,46.307,46.446,27013593
2016-05-18,46.416,47.023,46.251,46.721,20662322
2016-05-19,46.406,46.543,45.806,46.27,25236283
2016-05-20,46.416,47.097,46.342,46.543,23475949
2016-05-23,46.527,46.6,45.96,46.003,24425728
2016-05-24,46.618,47.547,46.342,47.436,34189720
2016-05-25,47.743,48.263,47.621,47.942,22560656
2016-05-26,47.752,47.793,47.226,47.716,24897200
2016-05-27,47.743,48.101,47.603,48.101,15125925
2016-05-31,48.054,48.735,47.885,48.735,35022417
2016-06-01,48.216,48.686,48.216,48.606,23683472
2016-06-02,48.403,48.493,47.663,48.255,24109065
2016-06-03,48.165,48.198,47.445,47.621,23447894
2016-06-06,47.803,48.137,47.716,47.932,18010900
2016-06-07,48.035,48.483,47.905,47.905,19757502
2016-06-08,47.83,48.216,47.696,47.849,21806862
2016-06-09,47.812,47.812,47.345,47.464,20637646
2016-06-10,46.94,47.859,46.931,47.336,26153301
2016-06-13,45.591,46.633,45.113,46.104,86846693
2016-06-14,45.883,46.067,45.581,45.816,45330392
2016-06-15,45.772,46.085,45.69,45.69,30888621
2016-06-16,45.533,46.406,45.521,46.334,31401624
2016-06-17,46.352,46.37,45.806,46.094,45411013
2016-06-20,46.561,46.74,46.003,46.039,36276293
2016-06-21,46.156,47.289,46.121,47.069,34032715
2016-06-22,46.966,47.318,46.852,46.896,26908437
2016-06-23,47.151,47.869,47.032,47.734,28481837
2016-06-24,45.796,46.839,45.533,45.816,68472204
2016-06-27,45.15,45.19,44.169,44.532,53877519
2016-06-28,44.98,45.489,44.749,45.46,38668460
2016-06-29,45.893,46.637,45.79,46.472,29729159
2016-06-30,46.637,47.171,46.436,47.05,28435733
2016-07-01,47.013,47.556,46.956,47.041,21656244
2016-07-05,46.74,47.151,46.657,47.05,25630846
2016-07-06,46.691,47.389,46.334,47.245,28550649
2016-07-07,47.28,47.455,46.956,47.245,19509126
2016-07-08,47.565,48.146,47.398,48.093,29312517
2016-07-11,48.273,48.578,48.246,48.357,19729622
2016-07-12,48.677,49.1,48.537,48.926,28331328
2016-07-13,49.248,49.524,48.9,49.203,25976122
2016-07-14,49.507,49.643,49.265,49.413,23573584
2016-07-15,49.604,49.653,48.926,49.378,32353384
2016-07-18,49.378,49.965,49.239,49.614,29942663
2016-07-19,49.388,49.559,48.668,48.816,49711411
2016-07-20,51.632,52.263,51.058,51.41,93063441
2016-07-21,51.473,51.703,51.272,51.307,33685421
2016-07-22,51.566,52.068,51.289,52.017,32344223
2016-07-25,51.923,52.173,51.726,52.164,24682405
2016-07-26,51.972,52.677,51.962,52.19,27953188
2016-07-27,52.051,52.226,51.593,51.665,33230898
2016-07-28,51.491,51.834,51.235,51.684,39407553
2016-07-29,51.731,52.19,51.539,52.117,30798847
2016-08-01,52.043,52.181,51.622,52.026,26715540
2016-08-02,52.272,52.321,51.777,52.026,34358443
2016-08-03,52.117,52.513,51.942,52.383,22539494
2016-08-04,52.226,52.889,52.107,52.77,27314676
2016-08-05,53.011,53.523,52.825,53.294,28838991
2016-08-08,53.382,53.409,53.127,53.387,19400038
2016-08-09,53.487,53.791,53.351,53.515,17937820
2016-08-10,53.478,53.625,53.165,53.351,15963370
2016-08-11,53.36,53.745,53.36,53.606,17293643
